context,method,parameter,auc
B,CapR,50,0.650084
B,CapR,100,0.681447
B,CapR,200,0.698761
B,CapR,500,0.701694
B,LinearCapR,50,0.699771
B,LinearCapR,100,0.707925
B,LinearCapR,200,0.710736
B,LinearCapR,500,0.711703
E,CapR,50,0.766082
E,CapR,100,0.828126
E,CapR,200,0.846896
E,CapR,500,0.867395
E,LinearCapR,50,0.880598
E,LinearCapR,100,0.883005
E,LinearCapR,200,0.883874
E,LinearCapR,500,0.885230
H,CapR,50,0.748840
H,CapR,100,0.790065
H,CapR,200,0.803486
H,CapR,500,0.806648
H,LinearCapR,50,0.798574
H,LinearCapR,100,0.802418
H,LinearCapR,200,0.803003
H,LinearCapR,500,0.803472
I,CapR,50,0.664695
I,CapR,100,0.713892
I,CapR,200,0.731163
I,CapR,500,0.734153
I,LinearCapR,50,0.734316
I,LinearCapR,100,0.741307
I,LinearCapR,200,0.743282
I,LinearCapR,500,0.744024
M,CapR,50,0.671404
M,CapR,100,0.758470
M,CapR,200,0.794631
M,CapR,500,0.810316
M,LinearCapR,50,0.796812
M,LinearCapR,100,0.811875
M,LinearCapR,200,0.820468
M,LinearCapR,500,0.826698
S,CapR,50,0.714816
S,CapR,100,0.766086
S,CapR,200,0.779481
S,CapR,500,0.782847
S,LinearCapR,50,0.780094
S,LinearCapR,100,0.785185
S,LinearCapR,200,0.786518
S,LinearCapR,500,0.786859
