context,method,parameter,auc
Stem_150+,CapR,50,0.616675
Stem_150+,CapR,100,0.630698
Stem_150+,CapR,200,0.676088
Stem_150+,LinearCapR,50,0.707661
Stem_150+,LinearCapR,100,0.729317
Stem_150+,LinearCapR,200,0.735750
Stem_300+,CapR,50,0.621149
Stem_300+,CapR,100,0.633486
Stem_300+,CapR,200,0.648658
Stem_300+,LinearCapR,50,0.693122
Stem_300+,LinearCapR,100,0.713800
Stem_300+,LinearCapR,200,0.718859
Stem_500+,CapR,50,0.615147
Stem_500+,CapR,100,0.628979
Stem_500+,CapR,200,0.642651
Stem_500+,LinearCapR,50,0.702189
Stem_500+,LinearCapR,100,0.721060
Stem_500+,LinearCapR,200,0.723213
