context,method,parameter,auc
Stem_150+,CapR,50,0.616675
Stem_150+,CapR,100,0.630698
Stem_150+,CapR,200,0.676088
Stem_150+,CapR,300,0.705350
Stem_150+,LinearCapR,50,0.712721
Stem_150+,LinearCapR,100,0.730310
Stem_150+,LinearCapR,200,0.736726
Stem_150+,LinearCapR,300,0.735776
Stem_300+,CapR,50,0.621149
Stem_300+,CapR,100,0.633486
Stem_300+,CapR,200,0.648658
Stem_300+,CapR,300,0.654046
Stem_300+,LinearCapR,50,0.697226
Stem_300+,LinearCapR,100,0.714179
Stem_300+,LinearCapR,200,0.720258
Stem_300+,LinearCapR,300,0.718520
Stem_500+,CapR,50,0.615147
Stem_500+,CapR,100,0.628979
Stem_500+,CapR,200,0.642651
Stem_500+,CapR,300,0.650565
Stem_500+,LinearCapR,50,0.700091
Stem_500+,LinearCapR,100,0.715270
Stem_500+,LinearCapR,200,0.718602
Stem_500+,LinearCapR,300,0.718245
