context,method,parameter,auc
B,CapR,50,0.650084
B,CapR,100,0.681447
B,CapR,200,0.698761
B,CapR,300,0.698815
B,LinearCapR,50,0.679886
B,LinearCapR,100,0.690587
B,LinearCapR,200,0.695286
B,LinearCapR,300,0.695692
E,CapR,50,0.766082
E,CapR,100,0.828126
E,CapR,200,0.846896
E,CapR,300,0.854955
E,LinearCapR,50,0.878476
E,LinearCapR,100,0.881182
E,LinearCapR,200,0.882837
E,LinearCapR,300,0.883612
H,CapR,50,0.748840
H,CapR,100,0.790065
H,CapR,200,0.803486
H,CapR,300,0.805172
H,LinearCapR,50,0.796233
H,LinearCapR,100,0.801440
H,LinearCapR,200,0.803596
H,LinearCapR,300,0.804755
I,CapR,50,0.664695
I,CapR,100,0.713892
I,CapR,200,0.731163
I,CapR,300,0.732082
I,LinearCapR,50,0.718123
I,LinearCapR,100,0.726188
I,LinearCapR,200,0.729130
I,LinearCapR,300,0.729518
M,CapR,50,0.671404
M,CapR,100,0.758470
M,CapR,200,0.794631
M,CapR,300,0.802851
M,LinearCapR,50,0.758573
M,LinearCapR,100,0.782471
M,LinearCapR,200,0.795758
M,LinearCapR,300,0.798552
S,CapR,50,0.714816
S,CapR,100,0.766086
S,CapR,200,0.779481
S,CapR,300,0.781008
S,LinearCapR,50,0.771161
S,LinearCapR,100,0.776991
S,LinearCapR,200,0.778887
S,LinearCapR,300,0.779215
