category,run_length,count
multiloop_unpaired,1,11885
multiloop_unpaired,2,13803
multiloop_unpaired,3,8870
multiloop_unpaired,4,9549
multiloop_unpaired,5,6040
multiloop_unpaired,6,3851
multiloop_unpaired,7,1609
multiloop_unpaired,8,1575
multiloop_unpaired,9,1187
multiloop_unpaired,10,1130
multiloop_unpaired,11,376
multiloop_unpaired,12,239
multiloop_unpaired,13,381
multiloop_unpaired,14,433
multiloop_unpaired,15,488
multiloop_unpaired,16,258
multiloop_unpaired,17,90
multiloop_unpaired,18,84
multiloop_unpaired,19,148
multiloop_unpaired,20,64
multiloop_unpaired,21,55
multiloop_unpaired,22,36
multiloop_unpaired,23,45
multiloop_unpaired,24,38
multiloop_unpaired,25,27
multiloop_unpaired,26,28
multiloop_unpaired,27,21
multiloop_unpaired,28,20
multiloop_unpaired,29,16
multiloop_unpaired,30,8
multiloop_unpaired,31,12
multiloop_unpaired,32,26
multiloop_unpaired,33,16
multiloop_unpaired,34,15
multiloop_unpaired,35,18
multiloop_unpaired,36,20
multiloop_unpaired,37,10
multiloop_unpaired,38,23
multiloop_unpaired,39,8
multiloop_unpaired,40,12
multiloop_unpaired,41,11
multiloop_unpaired,42,15
multiloop_unpaired,43,5
multiloop_unpaired,44,3
multiloop_unpaired,45,10
multiloop_unpaired,46,3
multiloop_unpaired,47,3
multiloop_unpaired,48,2
multiloop_unpaired,49,2
multiloop_unpaired,50,1
multiloop_unpaired,51,2
multiloop_unpaired,52,4
multiloop_unpaired,53,2
multiloop_unpaired,54,4
multiloop_unpaired,55,1
multiloop_unpaired,58,2
multiloop_unpaired,61,3
multiloop_unpaired,62,1
multiloop_unpaired,63,2
multiloop_unpaired,65,2
multiloop_unpaired,67,1
multiloop_unpaired,70,1
multiloop_unpaired,73,8
multiloop_unpaired,75,2
multiloop_unpaired,77,1
multiloop_unpaired,79,2
multiloop_unpaired,80,1
multiloop_unpaired,82,1
multiloop_unpaired,83,1
multiloop_unpaired,86,1
multiloop_unpaired,88,1
multiloop_unpaired,89,1
multiloop_unpaired,91,1
multiloop_unpaired,102,1
multiloop_unpaired,104,1
multiloop_unpaired,125,1
multiloop_unpaired,129,1
multiloop_unpaired,160,1
multiloop_unpaired,190,2
multiloop_unpaired,194,1
