context,method,parameter,energy,auc
B,CapR,100,turner1999,0.6814467668692417
B,CapR,200,turner1999,0.6987607352266927
B,CapR,300,turner1999,0.6988145504806729
B,CapR,400,turner1999,0.699550970651715
B,CapR,50,turner1999,0.6500837203509733
B,CapR,500,turner1999,0.7016941840380122
B,LinCapR,100,turner1999,0.6905873977277697
B,LinCapR,200,turner1999,0.6952858741135051
B,LinCapR,300,turner1999,0.6956924333348127
B,LinCapR,400,turner1999,0.6968171802677032
B,LinCapR,50,turner1999,0.679885599849968
B,LinCapR,500,turner1999,0.697103900824688
B,LinCapR,100,turner2004,0.7079249997275106
B,LinCapR,200,turner2004,0.7107361592211603
B,LinCapR,300,turner2004,0.7113712055343419
B,LinCapR,400,turner2004,0.7115185355804688
B,LinCapR,50,turner2004,0.6997714728197204
B,LinCapR,500,turner2004,0.711702706263658
E,CapR,100,turner1999,0.8281262844171361
E,CapR,200,turner1999,0.8468956420822682
E,CapR,300,turner1999,0.8549550530219981
E,CapR,400,turner1999,0.8606394027943587
E,CapR,50,turner1999,0.7660821854369664
E,CapR,500,turner1999,0.8673948532063217
E,LinCapR,100,turner1999,0.8811821738087668
E,LinCapR,200,turner1999,0.8828368862517999
E,LinCapR,300,turner1999,0.8836124098337694
E,LinCapR,400,turner1999,0.8839060895205969
E,LinCapR,50,turner1999,0.8784757095648972
E,LinCapR,500,turner1999,0.8841721785476517
E,LinCapR,100,turner2004,0.8830054808408041
E,LinCapR,200,turner2004,0.8838735767320453
E,LinCapR,300,turner2004,0.8847259356729957
E,LinCapR,400,turner2004,0.8850810849761466
E,LinCapR,50,turner2004,0.8805982217525958
E,LinCapR,500,turner2004,0.8852296390793634
H,CapR,100,turner1999,0.7900648758727372
H,CapR,200,turner1999,0.8034862646096295
H,CapR,300,turner1999,0.805171661462958
H,CapR,400,turner1999,0.8059588055618319
H,CapR,50,turner1999,0.7488396555055723
H,CapR,500,turner1999,0.8066475650521859
H,LinCapR,100,turner1999,0.8014402316827873
H,LinCapR,200,turner1999,0.8035964983401895
H,LinCapR,300,turner1999,0.8047552398922474
H,LinCapR,400,turner1999,0.8053241173791796
H,LinCapR,50,turner1999,0.7962331330535809
H,LinCapR,500,turner1999,0.805070291468938
H,LinCapR,100,turner2004,0.8024179550740332
H,LinCapR,200,turner2004,0.8030027158269912
H,LinCapR,300,turner2004,0.8032217628443257
H,LinCapR,400,turner2004,0.8032777767093935
H,LinCapR,50,turner2004,0.7985735114380714
H,LinCapR,500,turner2004,0.8034715022305254
I,CapR,100,turner1999,0.7138921162361767
I,CapR,200,turner1999,0.7311626140279222
I,CapR,300,turner1999,0.7320823781862542
I,CapR,400,turner1999,0.732938674265136
I,CapR,50,turner1999,0.6646951129945992
I,CapR,500,turner1999,0.7341533205291924
I,LinCapR,100,turner1999,0.7261884386119053
I,LinCapR,200,turner1999,0.7291295740186562
I,LinCapR,300,turner1999,0.7295180633419525
I,LinCapR,400,turner1999,0.7301939023562545
I,LinCapR,50,turner1999,0.7181228825718636
I,LinCapR,500,turner1999,0.7304109922802242
I,LinCapR,100,turner2004,0.7413074985896664
I,LinCapR,200,turner2004,0.7432823986279148
I,LinCapR,300,turner2004,0.7436793958614202
I,LinCapR,400,turner2004,0.7436633552394265
I,LinCapR,50,turner2004,0.7343157643551084
I,LinCapR,500,turner2004,0.7440241973091736
M,CapR,100,turner1999,0.7584698860179362
M,CapR,200,turner1999,0.7946314324219806
M,CapR,300,turner1999,0.8028509323735813
M,CapR,400,turner1999,0.8061847974096443
M,CapR,50,turner1999,0.6714043979999421
M,CapR,500,turner1999,0.8103160460231573
M,LinCapR,100,turner1999,0.782470917703523
M,LinCapR,200,turner1999,0.7957580202866227
M,LinCapR,300,turner1999,0.7985519478385514
M,LinCapR,400,turner1999,0.8018264388413863
M,LinCapR,50,turner1999,0.7585731980452752
M,LinCapR,500,turner1999,0.8031212616437006
M,LinCapR,100,turner2004,0.8118752247073653
M,LinCapR,200,turner2004,0.8204682142134588
M,LinCapR,300,turner2004,0.8242109279965737
M,LinCapR,400,turner2004,0.8254692023421715
M,LinCapR,50,turner2004,0.7968115242768559
M,LinCapR,500,turner2004,0.8266977107445944
S,CapR,100,turner1999,0.7660857660310478
S,CapR,200,turner1999,0.7794813242674563
S,CapR,300,turner1999,0.7810075005146774
S,CapR,400,turner1999,0.7818842080068027
S,CapR,50,turner1999,0.714816422471765
S,CapR,500,turner1999,0.782846590099021
S,LinCapR,100,turner1999,0.7769907945091811
S,LinCapR,200,turner1999,0.7788865392877754
S,LinCapR,300,turner1999,0.7792152721796822
S,LinCapR,400,turner1999,0.7796339659885086
S,LinCapR,50,turner1999,0.7711606813857261
S,LinCapR,500,turner1999,0.7796300236469518
S,LinCapR,100,turner2004,0.7851850505307955
S,LinCapR,200,turner2004,0.7865183969487923
S,LinCapR,300,turner2004,0.7867837893427286
S,LinCapR,400,turner2004,0.7867319383114162
S,LinCapR,50,turner2004,0.7800944814784356
S,LinCapR,500,turner2004,0.7868592068564769
