context_range,method,parameter,energy,auc
Stem_150+,CapR,100,turner1999,0.6306980537838048
Stem_150+,CapR,200,turner1999,0.6760878478526697
Stem_150+,CapR,300,turner1999,0.7053498863617329
Stem_150+,CapR,400,turner1999,0.7196543434588935
Stem_150+,CapR,50,turner1999,0.616675142410376
Stem_150+,CapR,500,turner1999,0.731199375515157
Stem_150+,LinCapR,100,turner1999,0.730309851505462
Stem_150+,LinCapR,200,turner1999,0.736725577024532
Stem_150+,LinCapR,300,turner1999,0.7357758501496567
Stem_150+,LinCapR,400,turner1999,0.7357111354339188
Stem_150+,LinCapR,50,turner1999,0.7127210962631094
Stem_150+,LinCapR,500,turner1999,0.7347901528281797
Stem_150+,LinCapR,100,turner2004,0.7293166088750129
Stem_150+,LinCapR,200,turner2004,0.7357500942565591
Stem_150+,LinCapR,300,turner2004,0.7355476140797909
Stem_150+,LinCapR,400,turner2004,0.734435811952144
Stem_150+,LinCapR,50,turner2004,0.7076610210173864
Stem_150+,LinCapR,500,turner2004,0.7343624639779751
Stem_300+,CapR,100,turner1999,0.633485513646162
Stem_300+,CapR,200,turner1999,0.6486576863421245
Stem_300+,CapR,300,turner1999,0.6540459565843099
Stem_300+,CapR,400,turner1999,0.6818648797393924
Stem_300+,CapR,50,turner1999,0.6211487454476158
Stem_300+,CapR,500,turner1999,0.7031877764751243
Stem_300+,LinCapR,100,turner1999,0.714178626899377
Stem_300+,LinCapR,200,turner1999,0.7202576185838787
Stem_300+,LinCapR,300,turner1999,0.7185198869721627
Stem_300+,LinCapR,400,turner1999,0.7187581183195256
Stem_300+,LinCapR,50,turner1999,0.6972260240934393
Stem_300+,LinCapR,500,turner1999,0.7173095716653237
Stem_300+,LinCapR,100,turner2004,0.7138003295520831
Stem_300+,LinCapR,200,turner2004,0.7188592994611681
Stem_300+,LinCapR,300,turner2004,0.7167581222303987
Stem_300+,LinCapR,400,turner2004,0.7157178049835613
Stem_300+,LinCapR,50,turner2004,0.693121963857409
Stem_300+,LinCapR,500,turner2004,0.7157196318197141
Stem_500+,CapR,100,turner1999,0.6289790789133668
Stem_500+,CapR,200,turner1999,0.6426513702585422
Stem_500+,CapR,300,turner1999,0.6505654385425421
Stem_500+,CapR,400,turner1999,0.649149408790231
Stem_500+,CapR,50,turner1999,0.6151472625255643
Stem_500+,CapR,500,turner1999,0.6483042313726367
Stem_500+,LinCapR,100,turner1999,0.7152699909418435
Stem_500+,LinCapR,200,turner1999,0.7186020379327515
Stem_500+,LinCapR,300,turner1999,0.718244746661353
Stem_500+,LinCapR,400,turner1999,0.7191552864837387
Stem_500+,LinCapR,50,turner1999,0.7000913839820186
Stem_500+,LinCapR,500,turner1999,0.7184389352869098
Stem_500+,LinCapR,100,turner2004,0.7210600594972296
Stem_500+,LinCapR,200,turner2004,0.7232125639362186
Stem_500+,LinCapR,300,turner2004,0.7211160483920751
Stem_500+,LinCapR,400,turner2004,0.7203156449691869
Stem_500+,LinCapR,50,turner2004,0.7021886632878687
Stem_500+,LinCapR,500,turner2004,0.7202367938802077
