beam_width,metric,value,energy_model,fasta
5,runtime_sec,1.640000,turner2004,/Users/ootagakitakumi/LinCapR_paper/LinCapR_Experiments/data/processed/sarscov2/NC_045512.RNA.fa
5,peak_mem_gb,0.117294,turner2004,/Users/ootagakitakumi/LinCapR_paper/LinCapR_Experiments/data/processed/sarscov2/NC_045512.RNA.fa
5,deltaG_kcal,-6607.380000,turner2004,/Users/ootagakitakumi/LinCapR_paper/LinCapR_Experiments/data/processed/sarscov2/NC_045512.RNA.fa
25,runtime_sec,9.860000,turner2004,/Users/ootagakitakumi/LinCapR_paper/LinCapR_Experiments/data/processed/sarscov2/NC_045512.RNA.fa
25,peak_mem_gb,0.540558,turner2004,/Users/ootagakitakumi/LinCapR_paper/LinCapR_Experiments/data/processed/sarscov2/NC_045512.RNA.fa
25,deltaG_kcal,-8453.010000,turner2004,/Users/ootagakitakumi/LinCapR_paper/LinCapR_Experiments/data/processed/sarscov2/NC_045512.RNA.fa
40,runtime_sec,18.890000,turner2004,/Users/ootagakitakumi/LinCapR_paper/LinCapR_Experiments/data/processed/sarscov2/NC_045512.RNA.fa
40,peak_mem_gb,0.826706,turner2004,/Users/ootagakitakumi/LinCapR_paper/LinCapR_Experiments/data/processed/sarscov2/NC_045512.RNA.fa
40,deltaG_kcal,-8657.890000,turner2004,/Users/ootagakitakumi/LinCapR_paper/LinCapR_Experiments/data/processed/sarscov2/NC_045512.RNA.fa
75,runtime_sec,41.610000,turner2004,/Users/ootagakitakumi/LinCapR_paper/LinCapR_Experiments/data/processed/sarscov2/NC_045512.RNA.fa
75,peak_mem_gb,1.529739,turner2004,/Users/ootagakitakumi/LinCapR_paper/LinCapR_Experiments/data/processed/sarscov2/NC_045512.RNA.fa
75,deltaG_kcal,-8825.890000,turner2004,/Users/ootagakitakumi/LinCapR_paper/LinCapR_Experiments/data/processed/sarscov2/NC_045512.RNA.fa
100,runtime_sec,57.810000,turner2004,/Users/ootagakitakumi/LinCapR_paper/LinCapR_Experiments/data/processed/sarscov2/NC_045512.RNA.fa
100,peak_mem_gb,2.202728,turner2004,/Users/ootagakitakumi/LinCapR_paper/LinCapR_Experiments/data/processed/sarscov2/NC_045512.RNA.fa
100,deltaG_kcal,-8949.700000,turner2004,/Users/ootagakitakumi/LinCapR_paper/LinCapR_Experiments/data/processed/sarscov2/NC_045512.RNA.fa
125,runtime_sec,79.160000,turner2004,/Users/ootagakitakumi/LinCapR_paper/LinCapR_Experiments/data/processed/sarscov2/NC_045512.RNA.fa
125,peak_mem_gb,2.600571,turner2004,/Users/ootagakitakumi/LinCapR_paper/LinCapR_Experiments/data/processed/sarscov2/NC_045512.RNA.fa
