fasta,time_sec,max_rss_kb,length,dataset,tool,beam,energy,machine,jobs
bpRNA_RFAM_24251,0.05,6064,100,bprna,LinCapR,400,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_4664,0.03,5476,95,bprna,LinCapR,400,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_14392,0.06,5516,112,bprna,LinCapR,400,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_34042,0.08,7096,132,bprna,LinCapR,400,turner2004,wisteria_20251017_1212,32
bpRNA_CRW_43708,0.02,4896,75,bprna,LinCapR,400,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_678,0.07,6924,120,bprna,LinCapR,400,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_26446,0.07,6772,120,bprna,LinCapR,400,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_6073,0.02,5096,81,bprna,LinCapR,400,turner2004,wisteria_20251017_1212,32
bpRNA_CRW_16047,0.0,4592,57,bprna,LinCapR,400,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_9340,0.19,9240,180,bprna,LinCapR,400,turner2004,wisteria_20251017_1212,32
bpRNA_SRP_842,0.62,18088,275,bprna,LinCapR,400,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_17843,0.03,5568,91,bprna,LinCapR,400,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_29775,0.01,4908,76,bprna,LinCapR,400,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_36655,0.03,5272,87,bprna,LinCapR,400,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_27980,0.0,4620,54,bprna,LinCapR,400,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_16585,0.1,6812,136,bprna,LinCapR,400,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_38678,0.12,8064,148,bprna,LinCapR,400,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_30224,0.03,5608,89,bprna,LinCapR,400,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_30542,0.04,5748,101,bprna,LinCapR,400,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_20751,0.02,5096,78,bprna,LinCapR,400,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_31884,0.02,5092,76,bprna,LinCapR,400,turner2004,wisteria_20251017_1212,32
bpRNA_CRW_37937,0.02,5312,77,bprna,LinCapR,400,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_26320,0.02,5244,81,bprna,LinCapR,400,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_9426,0.0,4252,39,bprna,LinCapR,400,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_20989,0.03,5300,91,bprna,LinCapR,400,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_29013,0.01,4868,74,bprna,LinCapR,400,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_22146,0.03,5232,88,bprna,LinCapR,400,turner2004,wisteria_20251017_1212,32
bpRNA_CRW_54512,0.02,5096,77,bprna,LinCapR,400,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_34724,0.01,4740,68,bprna,LinCapR,400,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_15932,0.02,4780,79,bprna,LinCapR,400,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_24537,0.1,6736,138,bprna,LinCapR,400,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_12091,0.04,5992,97,bprna,LinCapR,400,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_5208,0.32,12172,215,bprna,LinCapR,400,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_22152,0.04,5620,95,bprna,LinCapR,400,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_3679,0.08,6068,124,bprna,LinCapR,400,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_34730,0.01,5016,68,bprna,LinCapR,400,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_10686,0.02,5348,79,bprna,LinCapR,400,turner2004,wisteria_20251017_1212,32
bpRNA_RFAM_28319,0.03,5516,86,bprna,LinCapR,400,turner2004,wisteria_20251017_1212,32
