fasta,time_sec,max_rss_kb,length,dataset,tool,beam,energy,machine,jobs
bpRNA_RFAM_24251,0.06,6592,100,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_4664,0.04,6128,95,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_14392,0.07,6608,112,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_34042,0.1,6660,132,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_CRW_43708,0.02,5952,75,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_678,0.08,6808,120,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_26446,0.09,6848,120,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_6073,0.03,5972,81,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_CRW_16047,0.0,5476,57,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_9340,0.24,7628,180,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_SRP_842,0.71,9564,275,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_17843,0.04,6368,91,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_29775,0.02,5968,76,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_36655,0.04,6192,87,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_27980,0.0,5348,54,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_16585,0.12,6728,136,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_38678,0.14,7288,148,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_30224,0.03,6376,89,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_30542,0.05,6456,101,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_20751,0.02,5944,78,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_31884,0.02,5836,76,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_CRW_37937,0.02,5984,77,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_26320,0.03,6008,81,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_9426,0.0,5188,39,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_20989,0.04,6384,91,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_29013,0.02,6040,74,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_22146,0.04,6152,88,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_CRW_54512,0.02,6144,77,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_34724,0.01,5800,68,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_15932,0.02,6008,79,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_24537,0.12,7004,138,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_12091,0.05,6516,97,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_5208,0.42,8140,215,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_22152,0.05,6328,95,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_3679,0.09,6812,124,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_34730,0.01,5792,68,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_10686,0.02,6024,79,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_28319,0.03,5956,86,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_37239,0.07,6692,112,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_31890,0.01,5440,63,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_39214,0.24,8032,191,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_11598,0.02,5880,78,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_26334,0.03,6088,87,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_CRW_50760,0.02,5740,71,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_9432,0.0,5328,42,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_31648,0.19,7324,169,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_CRW_28803,0.02,5968,77,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_26452,0.03,6036,86,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_9354,0.21,7580,173,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_27994,0.01,5704,73,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_16591,0.14,7004,142,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_20023,0.01,5652,68,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_30230,0.01,5972,69,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_33739,0.03,5944,83,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_4670,0.01,5488,63,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_24245,0.04,6368,99,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_34056,0.12,6860,138,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_15098,0.04,6468,96,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_22634,0.03,6148,85,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_CRW_54260,0.02,5964,76,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_35348,0.03,6244,83,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_1720,0.02,5868,74,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_36669,0.08,6556,117,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_40927,0.14,7304,151,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_38644,0.15,7092,147,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_18594,0.03,6208,88,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_28457,0.04,6168,91,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_30218,0.01,5652,60,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_8062,0.05,6464,104,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_19852,0.05,6424,102,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_4658,0.02,6024,79,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_33711,0.03,6016,85,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_12907,0.21,7664,166,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_3137,0.28,7904,185,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_35360,0.11,6920,134,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_4880,0.0,5492,46,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_5546,0.18,7408,156,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_25173,0.0,5060,30,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_CRW_15572,0.09,6972,120,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_5220,0.36,8260,207,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_25615,0.02,5768,78,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_35406,1.49,12380,444,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_42856,24.67,62740,2990,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_34718,0.01,5648,68,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_CRW_32873,0.0,5012,27,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_28331,0.04,6140,88,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_41387,0.03,5916,80,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_CRW_26806,0.02,6096,77,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_27002,0.01,5832,68,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_38122,0.12,7200,140,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_37211,0.01,5836,70,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_21473,0.05,6400,99,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_6729,0.15,7016,150,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_41393,0.02,5892,77,bprna,CapR,200,na,wisteria_20251017_1212,32
bpRNA_RFAM_7423,0.03,6148,84,bprna,CapR,200,na,wisteria_20251017_1212,32
