fasta,time_sec,max_rss_kb,length,dataset,tool,beam,energy,machine,jobs
bpRNA_RFAM_24251,0.020000,2848,100,bprna,CapR-cubic,110,na,ootagakitakuminoMacBook-Pro.local,1
bpRNA_RFAM_14392,0.030000,3104,112,bprna,CapR-cubic,122,na,ootagakitakuminoMacBook-Pro.local,1
bpRNA_RFAM_34042,0.040000,4192,132,bprna,CapR-cubic,142,na,ootagakitakuminoMacBook-Pro.local,1
bpRNA_SRP_842,0.360000,10176,275,bprna,CapR-cubic,285,na,ootagakitakuminoMacBook-Pro.local,1
bpRNA_RFAM_5208,0.180000,6960,215,bprna,CapR-cubic,225,na,ootagakitakuminoMacBook-Pro.local,1
bpRNA_RFAM_5220,0.150000,6768,207,bprna,CapR-cubic,217,na,ootagakitakuminoMacBook-Pro.local,1
bpRNA_CRW_1267,0.840000,17840,378,bprna,CapR-cubic,388,na,ootagakitakuminoMacBook-Pro.local,1
bpRNA_SRP_498,0.530000,13472,320,bprna,CapR-cubic,330,na,ootagakitakuminoMacBook-Pro.local,1
bpRNA_CRW_6939,0.780000,15296,371,bprna,CapR-cubic,381,na,ootagakitakuminoMacBook-Pro.local,1
bpRNA_RFAM_35406,1.330000,23376,444,bprna,CapR-cubic,454,na,ootagakitakuminoMacBook-Pro.local,1
bpRNA_RNP_56,1.020000,19184,408,bprna,CapR-cubic,418,na,ootagakitakuminoMacBook-Pro.local,1
bpRNA_RNP_297,0.980000,18832,401,bprna,CapR-cubic,411,na,ootagakitakuminoMacBook-Pro.local,1
bpRNA_RFAM_16786,2.480000,32000,553,bprna,CapR-cubic,563,na,ootagakitakuminoMacBook-Pro.local,1
bpRNA_SRP_712,2.330000,30928,533,bprna,CapR-cubic,543,na,ootagakitakuminoMacBook-Pro.local,1
bpRNA_RFAM_34520,2.470000,32160,556,bprna,CapR-cubic,566,na,ootagakitakuminoMacBook-Pro.local,1
bpRNA_CRW_7428,3.890000,45376,653,bprna,CapR-cubic,663,na,ootagakitakuminoMacBook-Pro.local,1
bpRNA_CRW_54659,3.420000,39360,619,bprna,CapR-cubic,629,na,ootagakitakuminoMacBook-Pro.local,1
bpRNA_RFAM_35411,4.720000,47760,689,bprna,CapR-cubic,699,na,ootagakitakuminoMacBook-Pro.local,1
bpRNA_CRW_11066,5.240000,54144,720,bprna,CapR-cubic,730,na,ootagakitakuminoMacBook-Pro.local,1
bpRNA_CRW_54658,5.640000,55504,739,bprna,CapR-cubic,749,na,ootagakitakuminoMacBook-Pro.local,1
bpRNA_CRW_9997,5.030000,53504,711,bprna,CapR-cubic,721,na,ootagakitakuminoMacBook-Pro.local,1
bpRNA_CRW_6244,7.460000,65984,815,bprna,CapR-cubic,825,na,ootagakitakuminoMacBook-Pro.local,1
bpRNA_CRW_6056,9.390000,76560,882,bprna,CapR-cubic,892,na,ootagakitakuminoMacBook-Pro.local,1
bpRNA_CRW_54660,7.850000,71664,824,bprna,CapR-cubic,834,na,ootagakitakuminoMacBook-Pro.local,1
bpRNA_CRW_54670,13.330000,97728,990,bprna,CapR-cubic,1000,na,ootagakitakuminoMacBook-Pro.local,1
bpRNA_CRW_3410,10.550000,85248,919,bprna,CapR-cubic,929,na,ootagakitakuminoMacBook-Pro.local,1
bpRNA_CRW_55327,12.470000,94176,953,bprna,CapR-cubic,963,na,ootagakitakuminoMacBook-Pro.local,1
bpRNA_RFAM_37007,46.490000,215856,1472,bprna,CapR-cubic,1482,na,ootagakitakuminoMacBook-Pro.local,1
bpRNA_RFAM_43037,33.240000,166576,1298,bprna,CapR-cubic,1308,na,ootagakitakuminoMacBook-Pro.local,1
bpRNA_CRW_54664,14.580000,108448,1037,bprna,CapR-cubic,1047,na,ootagakitakuminoMacBook-Pro.local,1
bpRNA_RFAM_9546,55.780000,240048,1574,bprna,CapR-cubic,1584,na,ootagakitakuminoMacBook-Pro.local,1
bpRNA_RFAM_9547,54.770000,236896,1553,bprna,CapR-cubic,1563,na,ootagakitakuminoMacBook-Pro.local,1
bpRNA_RFAM_9551,59.940000,254000,1602,bprna,CapR-cubic,1612,na,ootagakitakuminoMacBook-Pro.local,1
