fasta,time_sec,max_rss_kb,length,dataset,tool,beam,energy,machine,jobs
URS000233CDDE,14.38,52804,4793,rnacentral,CapR,100,na,wisteria_20251017_1212,32
URS00019626CE,17.97,59744,5482,rnacentral,CapR,100,na,wisteria_20251017_1212,32
URS000239D8A4,23.68,74708,6990,rnacentral,CapR,100,na,wisteria_20251017_1212,32
URS00023C9544,37.11,123748,11832,rnacentral,CapR,100,na,wisteria_20251017_1212,32
URS000241043C,44.59,141992,13652,rnacentral,CapR,100,na,wisteria_20251017_1212,32
URS000241010F,49.27,176176,17009,rnacentral,CapR,100,na,wisteria_20251017_1212,32
URS000238C72C,74.45,231960,22543,rnacentral,CapR,100,na,wisteria_20251017_1212,32
URS00023A4DB9,94.93,298096,29106,rnacentral,CapR,100,na,wisteria_20251017_1212,32
URS000234B597,129.3,385228,37723,rnacentral,CapR,100,na,wisteria_20251017_1212,32
URS00023A038B,192.14,616876,60668,rnacentral,CapR,100,na,wisteria_20251017_1212,32
URS00023B9FFB,257.84,809844,79797,rnacentral,CapR,100,na,wisteria_20251017_1212,32
URS0002383EB1,259.66,857072,84464,rnacentral,CapR,100,na,wisteria_20251017_1212,32
URS00023D6C38,439.68,1364732,134714,rnacentral,CapR,100,na,wisteria_20251017_1212,32
URS0002411078,483.82,1625100,160505,rnacentral,CapR,100,na,wisteria_20251017_1212,32
URS000238BD54,599.71,1947852,192460,rnacentral,CapR,100,na,wisteria_20251017_1212,32
URS000240503C,728.25,2527720,249870,rnacentral,CapR,100,na,wisteria_20251017_1212,32
URS000241DEE3,1115.7,3410072,337259,rnacentral,CapR,100,na,wisteria_20251017_1212,32
URS00024138E3,1352.16,4659156,460939,rnacentral,CapR,100,na,wisteria_20251017_1212,32
URS00023C899B,2018.97,6371236,630484,rnacentral,CapR,100,na,wisteria_20251017_1212,32
URS000234CCEC,2358.26,8627828,853910,rnacentral,CapR,100,na,wisteria_20251017_1212,32
