fasta,time_sec,max_rss_kb,length,dataset,tool,beam,energy,machine,jobs
URS000233CDDE,84.01,819232,4793,rnacentral,LinCapR,300,turner2004,wisteria_20251021_1521,32
URS00019626CE,94.36,919064,5482,rnacentral,LinCapR,300,turner2004,wisteria_20251021_1521,32
URS000239D8A4,133.85,1262040,6990,rnacentral,LinCapR,300,turner2004,wisteria_20251021_1521,32
URS00023C9544,218.77,2091576,11832,rnacentral,LinCapR,300,turner2004,wisteria_20251021_1521,32
URS000241043C,263.24,2406992,13652,rnacentral,LinCapR,300,turner2004,wisteria_20251021_1521,32
URS000241010F,298.92,2710336,17009,rnacentral,LinCapR,300,turner2004,wisteria_20251021_1521,32
URS000238C72C,463.49,4102620,22543,rnacentral,LinCapR,300,turner2004,wisteria_20251021_1521,32
URS00023A4DB9,614.71,5541980,29106,rnacentral,LinCapR,300,turner2004,wisteria_20251021_1521,32
URS000234B597,770.3,7021712,37723,rnacentral,LinCapR,300,turner2004,wisteria_20251021_1521,32
URS00023A038B,1229.11,11242408,60668,rnacentral,LinCapR,300,turner2004,wisteria_20251021_1521,32
URS00023B9FFB,1623.26,14820984,79797,rnacentral,LinCapR,300,turner2004,wisteria_20251021_1521,32
URS0002383EB1,1566.43,14376236,84464,rnacentral,LinCapR,300,turner2004,wisteria_20251021_1521,32
URS00023D6C38,2684.11,25448748,134714,rnacentral,LinCapR,300,turner2004,wisteria_20251021_1521,32
URS0002411078,2702.92,26693080,160505,rnacentral,LinCapR,300,turner2004,wisteria_20251021_1521,32
URS000238BD54,3224.3,32621840,192460,rnacentral,LinCapR,300,turner2004,wisteria_20251021_1521,32
URS000240503C,3970.0,41618788,249870,rnacentral,LinCapR,300,turner2004,wisteria_20251021_1521,32
URS000241DEE3,6926.0,65212548,337259,rnacentral,LinCapR,300,turner2004,wisteria_20251021_1521,32
URS00024138E3,7616.0,76767440,460939,rnacentral,LinCapR,300,turner2004,wisteria_20251021_1521,32
URS00023C899B,11955.0,117707324,630484,rnacentral,LinCapR,300,turner2004,wisteria_20251021_1521,32
URS000234CCEC,12787.0,134092792,853910,rnacentral,LinCapR,300,turner2004,wisteria_20251021_1521,32
