id,tsne1,tsne2
NC_045512.2,-40.245052,-126.87831
OP090658.1,58.244698,-12.892435
MZ202178.1,1.4743828,57.48275
MZ202314.1,-55.04301,137.35036
MZ202306.1,-125.47824,-53.955326
MZ468047.1,124.02402,61.229927
OM264909.1,60.527752,-111.881546
ON128736.1,56.89953,137.73016
OR775659.1,148.70659,-46.013115
NC_019843.3,-30.696598,-29.843645
NC_006577.2,-104.51839,46.966625
